x;z Taylora;next from prev
0,84291;9,71E-19;9,71E-19
0,84134;1,17E-18;1,19E-18
0,83977;9,71E-19;9,99E-19
0,8382;7,77E-19;8,05E-19
0,83663;8,60E-19;8,88E-19
0,83506;9,71E-19;9,16E-19
0,83349;8,88E-19;8,88E-19
0,83192;1,67E-18;1,61E-18
0,83035;1,86E-18;1,89E-18
0,82878;1,97E-18;1,97E-18
0,82721;2,03E-18;2,03E-18
0,82564;1,94E-18;2,03E-18
0,82407;2,11E-18;2,08E-18
0,8225;1,89E-18;1,97E-18
0,82093;2,14E-18;2,19E-18
0,81936;1,72E-18;1,69E-18
0,81779;1,94E-18;1,86E-18
0,81622;2,30E-18;2,33E-18
0,81465;1,72E-18;1,80E-18
0,81308;2,11E-18;2,16E-18
0,81151;2,11E-18;2,16E-18
0,80994;1,97E-18;2,05E-18
0,80837;2,19E-18;2,25E-18
0,8068;2,19E-18;2,25E-18
0,80523;1,80E-18;1,80E-18
0,80366;1,58E-18;1,55E-18
0,80209;2,39E-18;2,33E-18
0,80052;2,16E-18;2,11E-18
0,79895;2,05E-18;2,11E-18
0,79738;1,69E-18;1,67E-18
0,79581;1,72E-18;1,61E-18
0,79424;1,55E-18;1,58E-18
0,79267;2,08E-18;2,14E-18
0,7911;1,72E-18;1,80E-18
0,78953;1,92E-18;1,78E-18
0,78796;1,72E-18;1,83E-18
0,78639;2,80E-18;2,69E-18
0,78482;2,30E-18;2,19E-18
0,78325;2,11E-18;2,11E-18
0,78168;2,41E-18;2,36E-18
0,78011;2,25E-18;2,22E-18
0,77854;1,92E-18;1,86E-18
0,77697;1,78E-18;1,67E-18
0,7754;2,39E-18;2,33E-18
0,77383;2,44E-18;2,61E-18
0,77226;2,50E-18;2,44E-18
0,77069;2,44E-18;2,33E-18
0,76912;3,28E-18;3,00E-18
0,76755;3,33E-18;3,33E-18
0,76598;3,94E-18;3,77E-18
0,76441;3,72E-18;3,61E-18
0,76284;4,33E-18;4,44E-18
0,76127;3,33E-18;3,33E-18
0,7597;4,05E-18;4,39E-18
0,75813;4,05E-18;3,94E-18
0,75656;3,77E-18;3,83E-18
0,75499;3,66E-18;3,66E-18
0,75342;3,50E-18;3,61E-18
0,75185;3,22E-18;3,00E-18
0,75028;4,16E-18;4,33E-18
0,74871;4,66E-18;4,66E-18
0,74714;4,44E-18;4,55E-18
0,74557;4,27E-18;4,27E-18
0,744;4,77E-18;4,61E-18
0,74243;3,72E-18;3,61E-18
0,74086;4,55E-18;4,55E-18
0,73929;4,27E-18;4,11E-18
0,73772;3,55E-18;3,61E-18
0,73615;4,05E-18;4,11E-18
0,73458;3,72E-18;3,83E-18
0,73301;4,94E-18;4,88E-18
0,73144;4,27E-18;4,11E-18
0,72987;4,05E-18;4,16E-18
0,7283;5,16E-18;5,16E-18
0,72673;4,72E-18;4,77E-18
0,72516;4,88E-18;4,83E-18
0,72359;3,89E-18;3,94E-18
0,72202;4,94E-18;5,05E-18
0,72045;4,39E-18;4,50E-18
0,71888;4,50E-18;4,55E-18
0,71731;4,00E-18;4,27E-18
0,71574;5,11E-18;4,88E-18
0,71417;4,22E-18;4,00E-18
0,7126;4,33E-18;4,16E-18
0,71103;5,16E-18;5,50E-18
0,70946;4,33E-18;4,50E-18
0,70789;3,83E-18;3,55E-18
0,70632;5,11E-18;5,11E-18
0,70475;4,66E-18;4,33E-18
0,70318;4,55E-18;4,44E-18
0,70161;4,11E-18;3,89E-18
0,70004;5,11E-18;5,50E-18
0,69847;4,94E-18;4,88E-18
0,6969;4,27E-18;4,05E-18
0,69533;4,44E-18;4,50E-18
0,69376;4,55E-18;4,44E-18
0,69219;4,00E-18;3,89E-18
0,69062;4,33E-18;4,22E-18
0,68905;4,39E-18;4,61E-18
0,68748;4,55E-18;4,27E-18
0,68591;6,38E-18;6,16E-18
0,68434;8,27E-18;8,05E-18
0,68277;7,33E-18;7,44E-18
0,6812;8,88E-18;9,05E-18
0,67963;8,60E-18;8,55E-18
0,67806;7,16E-18;6,94E-18
0,67649;8,22E-18;7,83E-18
0,67492;8,60E-18;8,88E-18
0,67335;8,10E-18;7,94E-18
0,67178;8,94E-18;8,94E-18
0,67021;9,05E-18;9,05E-18
0,66864;9,71E-18;1,02E-17
0,66707;9,05E-18;9,10E-18
0,6655;9,27E-18;9,60E-18
0,66393;8,94E-18;8,99E-18
0,66236;7,72E-18;8,05E-18
0,66079;8,88E-18;8,49E-18
0,65922;9,94E-18;9,83E-18
0,65765;9,77E-18;9,60E-18
0,65608;9,38E-18;9,21E-18
0,65451;9,38E-18;9,49E-18
0,65294;9,10E-18;9,33E-18
0,65137;9,77E-18;9,44E-18
0,6498;9,55E-18;9,83E-18
0,64823;9,27E-18;9,16E-18
0,64666;9,21E-18;9,10E-18
0,64509;9,49E-18;9,33E-18
0,64352;9,99E-18;1,01E-17
0,64195;8,99E-18;8,88E-18
0,64038;8,49E-18;8,77E-18
0,63881;9,44E-18;9,16E-18
0,63724;8,66E-18;9,16E-18
0,63567;9,71E-18;9,88E-18
0,6341;9,83E-18;9,60E-18
0,63253;8,99E-18;9,16E-18
0,63096;8,60E-18;8,99E-18
0,62939;9,55E-18;9,38E-18
0,62782;9,33E-18;9,21E-18
0,62625;9,44E-18;9,27E-18
0,62468;9,94E-18;9,21E-18
0,62311;8,88E-18;8,94E-18
0,62154;9,38E-18;9,83E-18
0,61997;9,38E-18;9,55E-18
0,6184;9,77E-18;9,33E-18
0,61683;8,66E-18;8,60E-18
0,61526;8,77E-18;9,27E-18
0,61369;1,05E-17;1,02E-17
0,61212;9,49E-18;9,44E-18
0,61055;1,05E-17;9,77E-18
0,60898;1,00E-17;1,02E-17
0,60741;8,72E-18;8,55E-18
0,60584;8,72E-18;8,66E-18
0,60427;9,33E-18;8,88E-18
0,6027;9,99E-18;8,99E-18
0,60113;9,44E-18;8,99E-18
0,59956;1,04E-17;1,04E-17
0,59799;9,10E-18;8,77E-18
0,59642;9,10E-18;9,77E-18
0,59485;8,66E-18;8,44E-18
0,59328;9,33E-18;8,55E-18
0,59171;8,44E-18;8,55E-18
0,59014;1,07E-17;1,05E-17
0,58857;1,01E-17;9,88E-18
0,587;9,44E-18;9,77E-18
0,58543;9,44E-18;9,33E-18
0,58386;9,55E-18;9,55E-18
0,58229;8,33E-18;8,55E-18
0,58072;9,21E-18;1,01E-17
0,57915;9,99E-18;1,11E-17
0,57758;1,90E-17;1,88E-17
0,57601;1,75E-17;1,81E-17
0,57444;1,89E-17;1,88E-17
0,57287;1,93E-17;1,87E-17
0,5713;1,93E-17;2,00E-17
0,56973;1,92E-17;1,99E-17
0,56816;1,69E-17;1,74E-17
0,56659;1,81E-17;1,80E-17
0,56502;1,90E-17;1,97E-17
0,56345;1,89E-17;1,81E-17
0,56188;2,05E-17;2,01E-17
0,56031;1,57E-17;1,58E-17
0,55874;1,75E-17;1,70E-17
0,55717;1,64E-17;1,63E-17
0,5556;1,65E-17;1,68E-17
0,55403;1,73E-17;1,81E-17
0,55246;1,78E-17;1,87E-17
0,55089;2,08E-17;2,12E-17
0,54932;1,84E-17;1,87E-17
0,54775;1,90E-17;1,92E-17
0,54618;2,00E-17;1,95E-17
0,54461;1,82E-17;1,79E-17
0,54304;1,78E-17;1,88E-17
0,54147;1,89E-17;1,80E-17
0,5399;1,78E-17;1,84E-17
0,53833;1,73E-17;1,80E-17
0,53676;1,82E-17;1,75E-17
0,53519;1,84E-17;1,72E-17
0,53362;1,99E-17;2,11E-17
0,53205;1,77E-17;1,72E-17
0,53048;1,82E-17;1,82E-17
0,52891;2,02E-17;1,91E-17
0,52734;1,72E-17;1,75E-17
0,52577;1,95E-17;1,84E-17
0,5242;1,77E-17;1,73E-17
0,52263;1,80E-17;1,91E-17
0,52106;1,69E-17;1,79E-17
0,51949;2,04E-17;2,09E-17
0,51792;1,67E-17;1,70E-17
0,51635;1,94E-17;1,91E-17
0,51478;1,74E-17;1,74E-17
0,51321;1,74E-17;1,73E-17
0,51164;1,99E-17;1,94E-17
0,51007;2,13E-17;2,26E-17
0,5085;2,14E-17;2,11E-17
0,50693;2,14E-17;2,09E-17
0,50536;2,26E-17;2,23E-17
0,50379;2,04E-17;2,07E-17
0,50222;1,98E-17;1,93E-17
0,50065;1,98E-17;2,02E-17
0,49908;2,20E-17;2,19E-17
0,49751;1,73E-17;1,82E-17
0,49594;1,94E-17;2,04E-17
0,49437;1,92E-17;1,93E-17
0,4928;1,99E-17;2,12E-17
0,49123;1,95E-17;2,04E-17
0,48966;1,91E-17;1,85E-17
0,48809;1,99E-17;1,95E-17
0,48652;2,18E-17;2,10E-17
0,48495;1,88E-17;1,83E-17
0,48338;1,85E-17;1,89E-17
0,48181;1,81E-17;1,79E-17
0,48024;1,78E-17;1,80E-17
0,47867;1,99E-17;1,80E-17
0,4771;1,81E-17;1,74E-17
0,47553;1,75E-17;1,84E-17
0,47396;2,02E-17;1,91E-17
0,47239;1,74E-17;1,68E-17
0,47082;1,90E-17;1,93E-17
0,46925;1,82E-17;1,70E-17
0,46768;1,85E-17;1,83E-17
0,46611;1,99E-17;1,91E-17
0,46454;1,84E-17;1,89E-17
0,46297;2,04E-17;1,72E-17
0,4614;2,11E-17;2,05E-17
0,45983;1,90E-17;1,83E-17
0,45826;1,74E-17;1,78E-17
0,45669;2,05E-17;1,94E-17
0,45512;1,90E-17;1,93E-17
0,45355;1,81E-17;1,78E-17
0,45198;1,82E-17;1,68E-17
0,45041;1,65E-17;1,64E-17
0,44884;1,98E-17;1,93E-17
0,44727;1,75E-17;1,75E-17
0,4457;1,68E-17;1,70E-17
0,44413;1,81E-17;1,71E-17
0,44256;1,93E-17;1,79E-17
0,44099;2,07E-17;1,92E-17
0,43942;1,75E-17;1,73E-17
0,43785;1,97E-17;1,92E-17
0,43628;1,97E-17;1,83E-17
0,43471;1,91E-17;1,90E-17
0,43314;2,07E-17;1,94E-17
0,43157;1,98E-17;2,02E-17
